State,Year,University/College,Student_Enrollment,Violent_Crime,Property_Crime,Violent_Crime_Rate,Property_Crime_Rate
Arizona,2020,Northern Arizona University,34934.0,17.0,162.0,0.4866319345050667,4.6373160817541645
Arizona,2020,Pima Community College,33708.0,1.0,29.0,0.0296665480004746,0.8603298920137653
Arkansas,2020,Arkansas State University:,9520.666666666666,9.0,30.0,0.158086104231438,0.7371976224161725
Arkansas,2020,Arkansas Tech University,13722.0,3.0,38.0,0.2186270222999563,2.769275615799446
Arkansas,2020,Henderson State University,4565.0,0.0,15.0,0.0,3.2858707557502735
Arkansas,2020,Southern Arkansas University,5182.0,3.0,20.0,0.5789270551910459,3.85951370127364
Arkansas,2020,Southern Arkansas University Tech,1968.0,2.0,1.0,1.016260162601626,0.508130081300813
Arkansas,2020,University of Arkansas Community College at Morrilton,2475.0,0.0,0.0,0.0,0.0
Arkansas,2020,University of Arkansas:,12390.333333333334,10.0,241.0,0.6110156498467674,12.610947934902365
Arkansas,2020,University of Central Arkansas,12741.0,1.0,45.0,0.0784867749784161,3.531904874028726
California,2022,Allan Hancock College,14876.0,0.0,13.0,0.0,0.873890830868513
California,2022,California State Polytechnic University:,20749.333333333332,12.0,443.0,0.2091846865725481,8.692764274347732
California,2022,California State University:,25343.0,120.0,1517.0,0.3461456844387209,3.5920191158417394
California,2022,Chaffey College,27808.0,0.0,10.0,0.0,0.3596087456846951
California,2022,College of the Sequoias,15729.0,0.0,14.0,0.0,0.8900756564307966
California,2022,Contra Costa Community College,49068.0,3.0,75.0,0.0611396429444852,1.5284910736121302
California,2022,Cuesta College,13912.0,0.0,4.0,0.0,0.2875215641173088
California,2022,El Camino College,30759.0,3.0,29.0,0.0975324295328196,0.9428134854839234
California,2022,Foothill-De Anza College,56506.0,2.0,17.0,0.0353944713835698,0.300853006760344
California,2022,Irvine Valley College,18155.0,0.0,8.0,0.0,0.4406499586890663
California,2022,Marin Community College,6494.0,1.0,4.0,0.1539882968894364,0.6159531875577456
California,2022,Mt. San Jacinto College,19172.0,0.0,12.0,0.0,0.6259127894846651
California,2022,Pasadena Community College,35760.0,0.0,36.0,0.0,1.0067114093959733
California,2022,Riverside Community College,59448.0,2.0,40.0,0.0336428475306149,0.6728569506122998
California,2022,San Bernardino Community College,25704.0,0.0,38.0,0.0,1.478369125427949
California,2022,San Diego State University,38811.0,27.0,358.0,0.6956790600602922,9.224189018577208
California,2022,San Francisco State University,31072.0,13.0,120.0,0.4183831101956745,3.8619979402677656
California,2022,San Joaquin Delta College,25009.0,1.0,28.0,0.0399856051821344,1.119596945099764
California,2022,San Jose/Evergreen Community College,26623.0,0.0,44.0,0.0,1.65270630657702
California,2022,Sonoma County Junior College,24673.0,2.0,15.0,0.081060268309488,0.6079520123211607
California,2022,Sonoma State University,8775.0,7.0,56.0,0.7977207977207977,6.381766381766382
California,2022,State Center Community College District,61021.0,0.0,96.0,0.0,1.5732288884154637
California,2022,University of California:,30538.8,298.0,5684.0,1.383654138881918,25.749002061311433
California,2022,Ventura County Community College District,50633.0,0.0,12.0,0.0,0.2369995852507258
California,2022,West Valley-Mission College,23203.0,0.0,22.0,0.0,0.9481532560444772
California,2023,Allan Hancock College,15100.0,0.0,36.0,0.0,2.384105960264901
California,2023,California State Polytechnic University:,20306.333333333332,9.0,418.0,0.255123396508369,7.837717204055624
California,2023,California State University:,25033.0625,114.0,1847.0,0.3016754910433697,4.198065345426498
California,2023,Chaffey College,27715.0,0.0,16.0,0.0,0.5773047086415298
California,2023,College of the Sequoias,15695.0,0.0,27.0,0.0,1.7202930869703728
California,2023,Contra Costa Community College,45303.0,3.0,78.0,0.0662207800807893,1.721740282100523
California,2023,Cuesta College,13943.0,0.0,1.0,0.0,0.0717205766334361
California,2023,El Camino College,28431.0,6.0,31.0,0.2110372480742851,1.090359115050473
California,2023,Foothill-De Anza College,49973.0,1.0,18.0,0.0200108058351509,0.3601945050327176
California,2023,Irvine Valley College,17098.0,0.0,5.0,0.0,0.2924318633758334
California,2023,Los Rios Community College,105677.0,4.0,35.0,0.037851188054165,0.3311978954739442
California,2023,Marin Community College,6770.0,0.0,8.0,0.0,1.1816838995568684
California,2023,MiraCosta College,16847.0,1.0,10.0,0.059357749154152,0.5935774915415207
California,2023,Mt. San Jacinto College,19567.0,0.0,14.0,0.0,0.7154903664332805
California,2023,Pasadena Community College,31175.0,2.0,54.0,0.0641539695268644,1.7321571772253408
California,2023,Riverside Community College,53049.0,2.0,31.0,0.0377009934211766,0.5843653980282381
California,2023,San Bernardino Community College,22939.0,3.0,47.0,0.1307816382579885,2.048912332708488
California,2023,San Diego Community College,72038.0,11.0,34.0,0.1526971875954357,0.4719731252949832
California,2023,San Diego State University,39053.0,26.0,300.0,0.6657619132973139,7.681868230353622
California,2023,San Francisco State University,30339.0,11.0,131.0,0.3625696298493688,4.317874682751574
California,2023,San Joaquin Delta College,23945.0,4.0,35.0,0.1670494884109417,1.4616830235957403
California,2023,San Jose/Evergreen Community College,24322.0,2.0,20.0,0.0822300797631773,0.8223007976317737
California,2023,Sonoma County Junior College,23100.0,4.0,24.0,0.1731601731601731,1.0389610389610389
California,2023,Sonoma State University,8173.0,3.0,46.0,0.3670622782332069,5.628288266242506
California,2023,State Center Community College District,57197.0,3.0,96.0,0.0524503033375876,1.6784097068028043
California,2023,University of California:,31373.8,269.0,5833.0,1.158525742484859,23.670114003724073
California,2023,Ventura County Community College District ,46678.0,4.0,40.0,0.0856934744419212,0.8569347444192126
California,2023,West Valley-Mission College,20535.0,1.0,18.0,0.0486973459946432,0.8765522279035792
Colorado,2021,Adams State University,3883.0,0.0,9.0,0.0,2.317795518928663
Colorado,2021,Arapahoe Community College,19102.0,0.0,7.0,0.0,0.3664537744738771
Colorado,2021,Colorado School of Mines,7092.0,0.0,70.0,0.0,9.870276367738295
Colorado,2021,Colorado State University,37806.0,10.0,247.0,0.2645082791091361,6.533354493995662
Colorado,2021,Fort Lewis College,3766.0,5.0,13.0,1.327668613913967,3.451938396176314
Colorado,2021,Red Rocks Community College,11486.0,0.0,7.0,0.0,0.6094375761796971
Colorado,2021,University of Colorado:,30112.333333333332,16.0,608.0,0.1709722454404032,5.618386596607022
Colorado,2021,University of Northern Colorado,15248.0,3.0,93.0,0.1967471143756558,6.09916054564533
Colorado,2022,Adams State University,3863.0,8.0,39.0,2.0709293295366296,10.095780481491069
Colorado,2022,Colorado School of Mines,7281.0,0.0,107.0,0.0,14.69578354621618
Colorado,2022,Colorado State University,36626.0,12.0,488.0,0.3276361054988259,13.32386829028559
Colorado,2022,Fort Lewis College,3899.0,4.0,19.0,1.02590407796871,4.873044370351372
Colorado,2022,Red Rocks Community College,9871.0,0.0,15.0,0.0,1.5196028771147807
Colorado,2022,University of Colorado:,29438.0,30.0,788.0,0.3381113208327389,8.058613226938915
Colorado,2022,University of Northern Colorado,13818.0,1.0,113.0,0.0723693732812273,8.177739180778694
Colorado,2023,Adams State University,3833.0,4.0,37.0,1.0435690060005218,9.653013305504826
Colorado,2023,Auraria Higher Education Center2,,2.0,56.0,,
Colorado,2023,Colorado School of Mines,7789.0,1.0,96.0,0.1283861856464244,12.325073822056746
Colorado,2023,Colorado State University,36664.0,13.0,356.0,0.3545712415448396,9.709797076150991
Colorado,2023,Fort Lewis College,3983.0,2.0,22.0,0.5021340697966357,5.523474767762993
Colorado,2023,Red Rocks Community College,9917.0,0.0,11.0,0.0,1.1092064132298074
Colorado,2023,University of Colorado:,29614.333333333332,22.0,735.0,0.2600502920060809,7.37763521166795
Colorado,2023,University of Northern Colorado,12017.0,1.0,141.0,0.0832154447865523,11.733377714903886
Connecticut,2021,Central Connecticut State University,13046.0,1.0,28.0,0.0766518473095201,2.1462517246665644
Connecticut,2021,Eastern Connecticut State University,5508.0,4.0,9.0,0.7262164124909223,1.6339869281045751
Connecticut,2021,Southern Connecticut State University,11273.0,0.0,6.0,0.0,0.5322451876164287
Connecticut,2021,University of Connecticut,,3.0,72.0,,
Connecticut,2021,Western Connecticut State University,6463.0,1.0,7.0,0.1547269070091289,1.0830883490639025
Connecticut,2021,Yale University,14910.0,2.0,171.0,0.1341381623071764,11.46881287726358
Connecticut,2022,Central Connecticut State University,12467.0,1.0,9.0,0.0802117590438758,0.7219058313948825
Connecticut,2022,University of Connecticut,,4.0,126.0,,
Connecticut,2022,Western Connecticut State University,6001.0,0.0,13.0,0.0,2.1663056157307117
Connecticut,2022,Yale University,13555.0,4.0,179.0,0.2950940612320177,13.205459240132791
Connecticut,2023,Central Connecticut State University,11260.0,3.0,38.0,0.2664298401420959,3.374777975133215
Connecticut,2023,Eastern Connecticut State University,4736.0,1.0,3.0,0.2111486486486486,0.6334459459459459
Connecticut,2023,Southern Connecticut State University,10270.0,0.0,19.0,0.0,1.8500486854917235
Connecticut,2023,University of Connecticut,,6.0,133.0,,
Connecticut,2023,Western Connecticut State University,5567.0,0.0,4.0,0.0,0.7185198491108317
Connecticut,2023,Yale University,15828.0,7.0,294.0,0.4422542330048016,18.57467778620167
California,2020,Allan Hancock College,15587.0,0.0,1.0,0.0,0.0641560274587797
California,2020,California State Polytechnic University:,25912.5,8.0,178.0,0.163907001900836,3.5180834618324157
California,2020,California State University:,24951.0625,69.0,878.0,0.1966166291831127,2.3196855276868447
California,2020,Chaffey College,30177.0,0.0,15.0,0.0,0.4970673029128144
California,2020,College of the Sequoias,16022.0,0.0,12.0,0.0,0.7489701660217201
California,2020,Contra Costa Community College,54940.0,2.0,62.0,0.0364033491081179,1.1285038223516564
California,2020,Cuesta College,15640.0,0.0,6.0,0.0,0.3836317135549872
California,2020,El Camino College,34373.0,1.0,14.0,0.0290926017513746,0.4072964245192447
California,2020,Foothill-De Anza College,58890.0,0.0,10.0,0.0,0.1698081168279843
California,2020,Humboldt State University,8622.0,0.0,56.0,0.0,6.495012758060774
California,2020,Irvine Valley College,19299.0,0.0,1.0,0.0,0.0518161562775273
California,2020,Marin Community College,7327.0,0.0,9.0,0.0,1.2283335608025112
California,2020,Mt. San Jacinto College,21317.0,0.0,8.0,0.0,0.3752873293615424
California,2020,Pasadena Community College,36788.0,1.0,14.0,0.0271827769924975,0.3805588778949657
California,2020,Riverside Community College,62345.0,0.0,27.0,0.0,0.4330740235784746
California,2020,San Bernardino Community College,29194.0,0.0,23.0,0.0,0.7878331163937795
California,2020,San Diego State University,37838.0,10.0,222.0,0.2642845816375072,5.867117712352661
California,2020,San Francisco State University,33236.0,2.0,87.0,0.0601757130822,2.6176435190757013
California,2020,San Jose/Evergreen Community College,29405.0,1.0,17.0,0.0340078217990137,0.5781329705832341
California,2020,Sonoma County Junior College,29046.0,0.0,24.0,0.0,0.8262755629002272
California,2020,Sonoma State University,10360.0,4.0,27.0,0.3861003861003861,2.606177606177606
California,2020,State Center Community College District,68277.0,0.0,57.0,0.0,0.8348345709389692
California,2020,University of California:,29728.9,198.0,3608.0,0.784793011689014,20.582632067460494
California,2020,Ventura County Community College District,50235.0,3.0,31.0,0.0597193191997611,0.617099631730865
California,2020,West Valley-Mission College,24630.0,1.0,11.0,0.0406008932196508,0.4466098254161591
Colorado,2020,Adams State University,3696.0,0.0,5.0,0.0,1.3528138528138527
Colorado,2020,Aims Community College,8895.0,0.0,1.0,0.0,0.1124227093872962
Colorado,2020,Arapahoe Community College,15565.0,0.0,0.0,0.0,0.0
Colorado,2020,Auraria Higher Education Center6,,5.0,73.0,,
Colorado,2020,Colorado School of Mines,6639.0,1.0,45.0,0.1506250941406838,6.778129236330773
Colorado,2020,Fort Lewis College,3743.0,1.0,11.0,0.2671653753673524,2.9388191290408763
Colorado,2020,Pikes Peak Community College,18701.0,0.0,8.0,0.0,0.4277846104486391
Colorado,2020,Red Rocks Community College,11967.0,0.0,3.0,0.0,0.250689395838556
Colorado,2020,University of Colorado:,30070.333333333332,23.0,553.0,0.227797842598413,5.170514930220302
Colorado,2020,University of Northern Colorado,15950.0,1.0,102.0,0.0626959247648902,6.394984326018808
Connecticut,2020,Central Connecticut State University,13866.0,1.0,6.0,0.0721188518678782,0.4327131112072696
Connecticut,2020,Eastern Connecticut State University,5714.0,2.0,8.0,0.3500175008750437,1.400070003500175
Connecticut,2020,Southern Connecticut State University,11492.0,1.0,9.0,0.0870170553428472,0.7831534980856248
Connecticut,2020,University of Connecticut,,2.0,53.0,,
Connecticut,2020,Western Connecticut State University,6535.0,0.0,4.0,0.0,0.612088752869166
Connecticut,2020,Yale University,14389.0,3.0,228.0,0.2084925985127527,15.845437486969212
Delaware,2021,Delaware State University,5263.0,13.0,42.0,2.470074102223067,7.980239407182215
Delaware,2021,University of Delaware,26527.0,7.0,85.0,0.2638820824066046,3.204282429223056
Delaware,2022,Delaware State University,5230.0,10.0,41.0,1.9120458891013383,7.839388145315488
Delaware,2022,University of Delaware,25695.0,5.0,166.0,0.1945903872348706,6.460400856197704
Delaware,2023,Delaware State University,5770.0,15.0,81.0,2.5996533795493937,14.038128249566723
Delaware,2023,University of Delaware,25903.0,5.0,140.0,0.1930278346137513,5.404779369185037
Delaware,2020,Delaware State University,5003.0,6.0,57.0,1.199280431740955,11.393164101539076
Delaware,2020,University of Delaware,25885.0,4.0,67.0,0.154529650376666,2.588371643809156
Florida,2022,Florida A&M University,10221.0,5.0,29.0,0.4891889247627434,2.837295763623912
Florida,2022,Florida Atlantic University,37656.0,5.0,45.0,0.1327809645209262,1.1950286806883366
Florida,2022,Florida Polytechnic University,1498.0,1.0,6.0,0.6675567423230975,4.005340453938585
Florida,2022,Florida State University,,0.0,5.0,,
Florida,2022,New College of Florida,706.0,4.0,20.0,5.6657223796034,28.328611898017
Florida,2022,Santa Fe College,17486.0,0.0,6.0,0.0,0.3431316481756834
Florida,2022,University of Central Florida,83889.0,10.0,186.0,0.1192051401256422,2.2172156063369455
Florida,2022,University of Florida,60790.0,9.0,184.0,0.148050666227998,3.026813620661293
Florida,2022,University of North Florida,20138.0,12.0,64.0,0.5958883702453074,3.1780713079749727
Florida,2022,University of South Florida,,0.0,18.0,,
Florida,2022,University of West Florida,16584.0,0.0,20.0,0.0,1.20598166907863
Florida,2023,Florida A&M University,10142.0,3.0,19.0,0.2957996450404259,1.8733977519226976
Florida,2023,Florida Atlantic University,36580.0,3.0,73.0,0.0820120284308365,1.9956260251503553
Florida,2023,Florida International University,71842.0,8.0,160.0,0.1113554745135157,2.2271094902703155
Florida,2023,Florida Polytechnic University,1644.0,0.0,3.0,0.0,1.8248175182481752
Florida,2023,Florida State University:,51109.0,18.0,229.0,0.3521884599581287,4.421921775029839
Florida,2023,New College of Florida,690.0,2.0,21.0,2.898550724637681,30.434782608695652
Florida,2023,Santa Fe College,17038.0,0.0,10.0,0.0,0.5869233478107759
Florida,2023,University of Central Florida,82075.0,13.0,154.0,0.1583917148949132,1.8763326226012793
Florida,2023,University of Florida,62839.0,12.0,237.0,0.1909642101242858,3.771543149954646
Florida,2023,University of North Florida,19743.0,7.0,71.0,0.3545560451805703,3.5962113154029276
Florida,2023,University of West Florida,16786.0,2.0,27.0,0.1191469081377338,1.6084832598594068
Florida,2020,Florida A&M University,11100.0,0.0,71.0,0.0,6.396396396396396
Florida,2020,Florida Atlantic University,36970.0,6.0,34.0,0.1622937516905599,0.9196645929131728
Florida,2020,Florida Gulf Coast University,16940.0,5.0,20.0,0.2951593860684769,1.180637544273908
Florida,2020,Florida International University,72780.0,4.0,74.0,0.0549601538884308,1.0167628469359715
Florida,2020,Florida Polytechnic University,1487.0,0.0,0.0,0.0,0.0
Florida,2020,Florida Southwestern State College,21995.0,0.0,3.0,0.0,0.136394635144351
Florida,2020,Florida State University:,46825.0,5.0,173.0,0.1067805659369994,3.6518953550453817
Florida,2020,New College of Florida,865.0,1.0,18.0,1.1560693641618498,20.809248554913296
Florida,2020,Northwest Florida State College,7691.0,0.0,1.0,0.0,0.1300221037576388
Florida,2020,Pensacola State College,13758.0,0.0,9.0,0.0,0.6541648495420846
Florida,2020,Santa Fe College,19711.0,0.0,5.0,0.0,0.253665465983461
Florida,2020,Tallahassee Community College,16760.0,2.0,13.0,0.1193317422434367,0.7756563245823389
Florida,2020,University of Central Florida,80378.0,7.0,146.0,0.0870885068053447,1.8164174276543332
Florida,2020,University of Florida,58749.0,9.0,237.0,0.1531940969207986,4.034111218914365
Florida,2020,University of North Florida,20094.0,3.0,67.0,0.1492982979994028,3.334328655319996
Florida,2020,University of South Florida:,28751.0,9.0,185.0,0.165019884828324,2.801527804806507
Florida,2020,University of West Florida,16122.0,1.0,19.0,0.0620270437910929,1.178513832030765
Georgia,2021,Abraham Baldwin Agricultural College,4667.0,0.0,26.0,0.0,5.571030640668524
Georgia,2021,Agnes Scott College,1166.0,0.0,9.0,0.0,7.718696397941681
Georgia,2021,Albany Technical College,4635.0,0.0,0.0,0.0,0.0
Georgia,2021,Athens Technical College,6598.0,0.0,0.0,0.0,0.0
Georgia,2021,Atlanta Metropolitan State College,2676.0,0.0,2.0,0.0,0.7473841554559043
Georgia,2021,Atlanta Technical College,6106.0,0.0,2.0,0.0,0.3275466754012446
Georgia,2021,Augusta Technical College,6088.0,0.0,1.0,0.0,0.164257555847569
Georgia,2021,Augusta University,9706.0,3.0,92.0,0.3090871625798475,9.47867298578199
Georgia,2021,Berry College,2228.0,0.0,17.0,0.0,7.63016157989228
Georgia,2021,Clayton State University,8420.0,7.0,23.0,0.831353919239905,2.7315914489311166
Georgia,2021,College of Coastal Georgia,4355.0,0.0,11.0,0.0,2.5258323765786455
Georgia,2021,Columbus State University,9643.0,4.0,38.0,0.4148086695011925,3.9406823602613295
Georgia,2021,Dalton State College,5734.0,1.0,0.0,0.1743983257760725,0.0
Georgia,2021,Emory University,15970.0,13.0,235.0,0.8140262993112085,14.715090795241077
Georgia,2021,Fort Valley State University,2892.0,2.0,7.0,0.6915629322268326,2.4204702627939145
Georgia,2021,Georgia College and State University,8039.0,8.0,35.0,0.995148650329643,4.353775345192188
Georgia,2021,Georgia Gwinnett College,15489.0,2.0,13.0,0.1291238943766544,0.8393053134482537
Georgia,2021,Georgia Highlands College,7895.0,0.0,1.0,0.0,0.1266624445851805
Georgia,2021,Georgia Institute of Technology,43217.0,10.0,205.0,0.2313904250642108,4.743503713816322
Georgia,2021,Georgia Military College,14828.0,0.0,0.0,0.0,0.0
Georgia,2021,Georgia Northwestern Technical College,8811.0,0.0,2.0,0.0,0.2269889910339348
Georgia,2021,Georgia Piedmont Technical College,4979.0,0.0,2.0,0.0,0.4016870857601928
Georgia,2021,Georgia Southern University,30231.0,9.0,83.0,0.2977076510866329,2.745526115576726
Georgia,2021,Georgia Southwestern State University,3725.0,1.0,1.0,0.2684563758389262,0.2684563758389262
Georgia,2021,Georgia State University,41177.0,13.0,88.0,0.3157102265828011,2.137115379945115
Georgia,2021,Gordon State College,4114.0,1.0,0.0,0.2430724355858045,0.0
Georgia,2021,Gwinnett Technical College,12929.0,0.0,0.0,0.0,0.0
Georgia,2021,Kennesaw State University,44088.0,11.0,58.0,0.249500998003992,1.3155507167483214
