State,Year,University/College,Campus,Student_Enrollment,Violent_Crime,Murder_and_nonnegligent_manslaughter,Rape2,Robbery,Aggravated_assault,Property_Crime,Burglary,Larceny-_theft,Motor_vehicle_theft,Arson3,Violent_Crime_Rate,Property_Crime_Rate
California,2020,College of the Sequoias,,16022.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,10,0.0,0.0,0.0,0.7489701660217201
California,2020,Contra Costa Community College,,54940.0,2.0,0.0,2.0,0.0,0.0,62.0,15.0,42,5.0,0.0,0.0364033491081179,1.1285038223516564
California,2020,Cuesta College,,15640.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1,0.0,0.0,0.0,0.3836317135549872
California,2020,El Camino College,,34373.0,1.0,0.0,0.0,1.0,0.0,14.0,0.0,12,2.0,0.0,0.0290926017513746,0.4072964245192447
California,2020,Foothill-De Anza College,,58890.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,5,1.0,1.0,0.0,0.1698081168279843
California,2020,Humboldt State University,,8622.0,0.0,0.0,0.0,0.0,0.0,56.0,14.0,39,3.0,2.0,0.0,6.495012758060774
California,2020,Irvine Valley College,,19299.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0518161562775273
California,2020,Marin Community College,,7327.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,8,0.0,1.0,0.0,1.2283335608025112
California,2020,Mt. San Jacinto College,,21317.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,6,0.0,0.0,0.0,0.3752873293615424
California,2020,Pasadena Community College,,36788.0,1.0,0.0,0.0,0.0,1.0,14.0,1.0,11,2.0,0.0,0.0271827769924975,0.3805588778949657
California,2020,Riverside Community College,,62345.0,0.0,0.0,0.0,0.0,0.0,27.0,16.0,11,0.0,2.0,0.0,0.4330740235784746
California,2020,San Bernardino Community College,,29194.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,19,2.0,0.0,0.0,0.7878331163937795
California,2020,San Diego State University,,37838.0,10.0,0.0,3.0,3.0,4.0,222.0,70.0,140,12.0,2.0,0.2642845816375072,5.867117712352661
California,2020,San Francisco State University,,33236.0,2.0,0.0,1.0,1.0,0.0,87.0,25.0,58,4.0,0.0,0.0601757130822,2.6176435190757013
California,2020,San Jose/Evergreen Community College,,29405.0,1.0,0.0,0.0,0.0,1.0,17.0,0.0,16,1.0,0.0,0.0340078217990137,0.5781329705832341
California,2020,Sonoma County Junior College,,29046.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,17,0.0,0.0,0.0,0.8262755629002272
California,2020,Sonoma State University,,10360.0,4.0,0.0,1.0,0.0,3.0,27.0,6.0,21,0.0,0.0,0.3861003861003861,2.606177606177606
California,2020,State Center Community College District,,68277.0,0.0,0.0,0.0,0.0,0.0,57.0,10.0,46,1.0,1.0,0.0,0.8348345709389692
California,2020,University of California:,Berkeley,45183.0,71.0,0.0,11.0,8.0,52.0,366.0,50.0,278,38.0,3.0,1.5713874687382423,8.10039174025629
California,2020,University of California:,Davis,40623.0,5.0,0.0,3.0,0.0,2.0,686.0,100.0,565,21.0,2.0,0.123082982546833,16.886985205425496
California,2020,University of California:,Irvine,38105.0,31.0,0.0,6.0,3.0,22.0,442.0,27.0,404,11.0,1.0,0.8135415299829418,11.599527621047104
California,2020,University of California:,Los Angeles,47103.0,31.0,0.0,9.0,4.0,18.0,548.0,142.0,383,23.0,10.0,0.6581321784175106,11.634078508799863
California,2020,University of California:,"Medical Center, Sacramento6",,3.0,0.0,0.0,0.0,3.0,99.0,2.0,93,4.0,0.0,,
California,2020,University of California:,Merced,8939.0,2.0,0.0,2.0,0.0,0.0,12.0,5.0,5,2.0,0.0,0.2237386732296677,1.3424320393780065
California,2020,University of California:,Riverside,25816.0,3.0,0.0,1.0,0.0,2.0,220.0,46.0,159,15.0,1.0,0.1162070034087387,8.521846916640843
California,2020,University of California:,San Diego,39811.0,12.0,0.0,3.0,2.0,7.0,436.0,35.0,365,36.0,0.0,0.3014242294843134,10.95174700459672
California,2020,University of California:,San Francisco,3185.0,9.0,1.0,2.0,0.0,6.0,384.0,35.0,336,13.0,3.0,2.8257456828885403,120.5651491365777
California,2020,University of California:,Santa Barbara,27685.0,23.0,0.0,17.0,0.0,6.0,311.0,33.0,274,4.0,1.0,0.8307747877912227,11.233519956655227
California,2020,University of California:,Santa Cruz,20839.0,8.0,0.0,3.0,1.0,4.0,104.0,23.0,76,5.0,4.0,0.3838955804021306,4.990642545227698
California,2020,Ventura County Community College District,,50235.0,3.0,0.0,0.0,1.0,2.0,31.0,15.0,15,1.0,1.0,0.0597193191997611,0.617099631730865
California,2020,West Valley-Mission College,,24630.0,1.0,0.0,1.0,0.0,0.0,11.0,3.0,7,1.0,0.0,0.0406008932196508,0.4466098254161591
Colorado,2020,Adams State University,,3696.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5,0.0,0.0,0.0,1.3528138528138527
Colorado,2020,Aims Community College,,8895.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.1124227093872962
Colorado,2020,Arapahoe Community College,,15565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Colorado,2020,Auraria Higher Education Center6,,,5.0,1.0,1.0,2.0,1.0,73.0,9.0,58,6.0,0.0,,
Colorado,2020,Colorado School of Mines,,6639.0,1.0,0.0,1.0,0.0,0.0,45.0,2.0,41,2.0,2.0,0.1506250941406838,6.778129236330773
Colorado,2020,Fort Lewis College,,3743.0,1.0,0.0,1.0,0.0,0.0,11.0,1.0,10,0.0,0.0,0.2671653753673524,2.9388191290408763
Colorado,2020,Pikes Peak Community College,,18701.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8,0.0,0.0,0.0,0.4277846104486391
Colorado,2020,Red Rocks Community College,,11967.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3,0.0,0.0,0.0,0.250689395838556
Colorado,2020,University of Colorado:,Boulder,40353.0,18.0,0.0,4.0,2.0,12.0,404.0,19.0,374,11.0,8.0,0.4460634897033678,10.011647213342254
Colorado,2020,University of Colorado:,Colorado Springs,17001.0,3.0,0.0,3.0,0.0,0.0,34.0,0.0,30,4.0,0.0,0.1764602082230457,1.9998823598611848
Colorado,2020,University of Colorado:,Denver,32857.0,2.0,0.0,0.0,0.0,2.0,115.0,5.0,65,45.0,1.0,0.0608698298688255,3.5000152174574675
Colorado,2020,University of Northern Colorado,,15950.0,1.0,0.0,1.0,0.0,0.0,102.0,10.0,86,6.0,0.0,0.0626959247648902,6.394984326018808
Connecticut,2020,Central Connecticut State University,,13866.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,6,0.0,0.0,0.0721188518678782,0.4327131112072696
Connecticut,2020,Eastern Connecticut State University,,5714.0,2.0,0.0,1.0,0.0,1.0,8.0,0.0,8,0.0,0.0,0.3500175008750437,1.400070003500175
Connecticut,2020,Southern Connecticut State University,,11492.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,9,0.0,0.0,0.0870170553428472,0.7831534980856248
Connecticut,2020,University of Connecticut,"Storrs, Avery Point, and Hartford6",,2.0,0.0,2.0,0.0,0.0,53.0,10.0,39,4.0,2.0,,
Connecticut,2020,Western Connecticut State University,,6535.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4,0.0,0.0,0.0,0.612088752869166
Connecticut,2020,Yale University,,14389.0,3.0,0.0,1.0,2.0,0.0,228.0,27.0,199,2.0,0.0,0.2084925985127527,15.845437486969212
Delaware,2020,Delaware State University,,5003.0,6.0,0.0,5.0,0.0,1.0,57.0,15.0,42,0.0,0.0,1.199280431740955,11.393164101539076
Delaware,2020,University of Delaware,,25885.0,4.0,0.0,4.0,0.0,0.0,67.0,4.0,62,1.0,0.0,0.154529650376666,2.588371643809156
Florida,2020,Florida A&M University,,11100.0,0.0,0.0,0.0,0.0,0.0,71.0,35.0,35,1.0,0.0,0.0,6.396396396396396
Florida,2020,Florida Atlantic University,,36970.0,6.0,0.0,4.0,0.0,2.0,34.0,8.0,22,4.0,0.0,0.1622937516905599,0.9196645929131728
Florida,2020,Florida Gulf Coast University,,16940.0,5.0,0.0,3.0,0.0,2.0,20.0,1.0,19,0.0,0.0,0.2951593860684769,1.180637544273908
Florida,2020,Florida International University,,72780.0,4.0,0.0,2.0,1.0,1.0,74.0,3.0,70,1.0,0.0,0.0549601538884308,1.0167628469359715
Florida,2020,Florida Polytechnic University,,1487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Florida,2020,Florida Southwestern State College,,21995.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2,0.0,0.0,0.0,0.136394635144351
Florida,2020,Florida State University:,Panama City6,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1,0.0,1.0,,
Florida,2020,Florida State University:,Tallahassee,46825.0,5.0,0.0,3.0,0.0,2.0,171.0,8.0,133,30.0,0.0,0.1067805659369994,3.6518953550453817
Florida,2020,New College of Florida,,865.0,1.0,0.0,1.0,0.0,0.0,18.0,1.0,17,0.0,0.0,1.1560693641618498,20.809248554913296
Florida,2020,Northwest Florida State College,,7691.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.1300221037576388
Florida,2020,Pensacola State College,,13758.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,7,0.0,0.0,0.0,0.6541648495420846
Florida,2020,Santa Fe College,,19711.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5,0.0,0.0,0.0,0.253665465983461
Florida,2020,Tallahassee Community College,,16760.0,2.0,0.0,1.0,0.0,1.0,13.0,0.0,12,1.0,0.0,0.1193317422434367,0.7756563245823389
Florida,2020,University of Central Florida,,80378.0,7.0,0.0,4.0,1.0,2.0,146.0,13.0,128,5.0,0.0,0.0870885068053447,1.8164174276543332
Florida,2020,University of Florida,,58749.0,9.0,0.0,4.0,3.0,2.0,237.0,17.0,202,18.0,0.0,0.1531940969207986,4.034111218914365
Florida,2020,University of North Florida,,20094.0,3.0,0.0,1.0,1.0,1.0,67.0,10.0,57,0.0,0.0,0.1492982979994028,3.334328655319996
Florida,2020,University of South Florida:,St. Petersburg,5694.0,1.0,0.0,1.0,0.0,0.0,13.0,0.0,12,1.0,0.0,0.1756234632946961,2.28310502283105
Florida,2020,University of South Florida:,Tampa,51808.0,8.0,0.0,3.0,3.0,2.0,172.0,10.0,153,9.0,1.0,0.1544163063619518,3.319950586781964
Florida,2020,University of West Florida,,16122.0,1.0,0.0,1.0,0.0,0.0,19.0,0.0,16,3.0,0.0,0.0620270437910929,1.178513832030765
Georgia,2020,Agnes Scott College5,,1076.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,6,0.0,0.0,0.0,9.29368029739777
Georgia,2020,Albany Technical College5,,4583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Georgia,2020,Athens Technical College,,6365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Georgia,2020,Atlanta Metropolitan State College,,3277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Georgia,2020,Atlanta Technical College5,,5725.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3,0.0,0.0,0.0,0.5240174672489083
Georgia,2020,Augusta University5,,9575.0,2.0,0.0,0.0,0.0,2.0,100.0,3.0,97,0.0,0.0,0.2088772845953002,10.443864229765014
Georgia,2020,"Bainbridge State College5, 6",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,
Georgia,2020,Chattahoochee Technical College5,,15030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Georgia,2020,Emory University5,,16024.0,14.0,0.0,6.0,1.0,7.0,208.0,11.0,193,4.0,0.0,0.873689465801298,12.980529206190711
Georgia,2020,Fort Valley State University5,,3049.0,4.0,0.0,2.0,0.0,2.0,9.0,1.0,8,0.0,0.0,1.3119055428009183,2.951787471302066
Georgia,2020,Georgia College and State University5,,8066.0,1.0,0.0,1.0,0.0,0.0,31.0,1.0,22,8.0,0.0,0.1239771881973716,3.843292834118522
Georgia,2020,Georgia Gwinnett College5,,15382.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,10,0.0,0.0,0.0,0.7151215706670134
Georgia,2020,Georgia Institute of Technology5,,38951.0,7.0,0.0,1.0,2.0,4.0,200.0,30.0,148,22.0,0.0,0.1797129727093014,5.134656363122898
Georgia,2020,Georgia Southern University5,,30628.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,31,2.0,0.0,0.0,1.142745200470158
Georgia,2020,Georgia Southwestern State University,,3646.0,4.0,0.0,4.0,0.0,0.0,5.0,0.0,5,0.0,0.0,1.097092704333516,1.3713658804168951
Georgia,2020,Georgia State University5,,40505.0,6.0,0.0,0.0,2.0,4.0,99.0,2.0,94,3.0,2.0,0.148129860511048,2.4441426984322923
Georgia,2020,Gwinnett Technical College5,,12364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Georgia,2020,Kennesaw State University5,,41654.0,8.0,0.0,4.0,1.0,3.0,43.0,5.0,36,2.0,0.0,0.1920583857492677,1.0323138234023144
Georgia,2020,Mercer University,,9767.0,1.0,0.0,0.0,1.0,0.0,34.0,2.0,26,6.0,1.0,0.1023855841097573,3.48110985973175
Georgia,2020,Middle Georgia State University,,9654.0,2.0,0.0,1.0,0.0,1.0,19.0,0.0,17,2.0,0.0,0.2071680132587528,1.968096125958152
Georgia,2020,Piedmont College5,,3357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Georgia,2020,Southern Crescent Technical College5,,7088.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0,0.0,0.0,0.0,0.564334085778781
Georgia,2020,Spelman College5,,2206.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2,1.0,0.0,0.0,1.3599274705349047
Georgia,2020,University of North Georgia5,,23032.0,2.0,0.0,2.0,0.0,0.0,10.0,2.0,8,0.0,0.0,0.0868357068426537,0.4341785342132684
Georgia,2020,University of West Georgia5,,16353.0,4.0,0.0,1.0,1.0,2.0,18.0,1.0,17,0.0,1.0,0.2446034366782853,1.100715465052284
Georgia,2020,West Georgia Technical College5,,10043.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,0.0,0.0,0.0,0.1991436821666832
Illinois,2020,College of DuPage,,41901.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,
Illinois,2020,College of Lake County,,22809.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,
Illinois,2020,Eastern Illinois University,,9526.0,6.0,0.0,3.0,0.0,3.0,,1.0,,0.0,0.0,0.6298551333193366,
Illinois,2020,Elgin Community College,,14547.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,
Illinois,2020,Governors State University,,5954.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,
Illinois,2020,Illinois State University,,22907.0,8.0,0.0,6.0,0.0,2.0,,3.0,,0.0,0.0,0.3492382241236303,
